Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM,Si6,Si5,Si4,Si3,Si2,Si1,Si0,P3,P2,P1,P0,B4,Al4,Al6
0,0,33.3,0,0,0,66.7,0,0,0,0,0,5.304840618,89.3993981,5.286683459,0.009076306,1.52E-06,0,0,0,0,0,0,0,0,0,7,86,7,0,0,0,0,0,0,0,0,0
0,0,36.4,0,0,0,63.6,0,0,0,0,0,0.093591515,85.87129414,13.97665974,0.05843205,2.26E-05,0,0,0,0,0,0,0,0,0,5,81,14,0,0,0,0,0,0,0,0,0
0,0,40,0,0,0,60,0,0,0,0,0,1.14E-06,67.36049644,32.27936314,0.359779837,0.000359443,0,0,0,0,0,0,0,0,0,0,67,32,1,0,0,0,0,0,0,0,0
0,0,42.9,0,0,0,57.1,0,0,0,0,0,5.86E-13,50.96149484,48.07868966,0.95813618,0.001679328,0,0,0,0,0,0,0,0,0,0,51,48,1,0,0,0,0,0,0,0,0
0,0,44.4,0,0,0,55.6,0,0,0,0,0,2.21E-18,41.53470846,56.93413656,1.527601493,0.003553485,0,0,0,0,0,0,0,0,0,0,41,57,2,0,0,0,0,0,0,0,0
0,0,50,0,0,0,50,0,0,0,0,0,0,8.052247608,83.95388034,7.935496493,0.058375557,0,0,0,0,0,0,0,0,0,0,9,84,7,0,0,0,0,0,0,0,0
0,0,28.15256539,0,0,0,71.84743461,0,0,0,0,0,23.84575607,74.30993727,1.842857344,0.001449193,1.15E-07,0,0,0,0,0,0,0,0,0,18.54,76.68,4.78,0,0,0,0,0,0,0,0,0
0,0,45.74004216,0,0,0,54.25995784,0,0,0,0,0,3.26E-26,33.25506134,64.49652718,2.241761626,0.006649857,0,0,0,0,0,0,0,0,0,0,31.36,63.37,5.27,0,0,0,0,0,0,0,0
0,0,49.46452227,0,0,0,50.53547773,0,0,0,0,0,0,10.77539647,82.49215851,6.689493564,0.042951454,0,0,0,0,0,0,0,0,0,0,11.43,81.76,6.81,0,0,0,0,0,0,0,0
0,23.9,0,0,0,0,0,0,70.9,5.3,0,0,0,0,0,0,0,0,0,0,0,25.12440963,6.822376309,0.133004268,0,0,0,0,0,0,0,0,0,0,0,27.91164659,6.124497992,0.803212851
0,24.7,0,0,0,0,0,0,59.5,15.8,0,0,0,0,0,0,0,0,0,0,0,16.88548975,20.00168237,0.981053355,0,0,0,0,0,0,0,0,0,0,0,16.43286573,15.83166333,5.611222445
0,27.4,0,0,0,0,0,0,53.2,19.3,0,0,0,0,0,0,0,0,0,0,0,15.01639946,25.8305174,0.79017225,0,0,0,0,0,0,0,0,0,0,0,12.1242485,20.64128257,6.513026052
0,24.5,0,0,0,0,0,0,49.7,25.9,0,0,0,0,0,0,0,0,0,0,0,9.839884203,31.36875796,2.890501298,0,0,0,0,0,0,0,0,0,0,0,7.221664995,23.77131394,11.0330993
0,25,0,0,0,0,0,0,70,5,0,0,0,0,0,0,0,0,0,0,0,27.15546409,6.58025939,0.086407277,0,0,0,0,0,0,0,0,0,0,0,27.65543638,5.243139077,1.323774588
0,25,0,0,0,0,0,0,65,10,0,0,0,0,0,0,0,0,0,0,0,21.19768979,13.00624105,0.327092282,0,0,0,0,0,0,0,0,0,0,0,21.85490276,11.13855278,2.442115967
0,25,0,0,0,0,0,0,60,15,0,0,0,0,0,0,0,0,0,0,0,16.96950241,19.12047889,0.87952111,0,0,0,0,0,0,0,0,0,0,0,16.56533733,15.71152289,4.372651669
0,25,0,0,0,0,0,0,55,20,0,0,0,0,0,0,0,0,0,0,0,14.79450381,24.91856129,1.748105373,0,0,0,0,0,0,0,0,0,0,0,12.24954672,20.4202053,5.959480033
0,25,0,0,0,0,0,0,50,25,0,0,0,0,0,0,0,0,0,0,0,10.02202359,30.92089282,2.412440513,0,0,0,0,0,0,0,0,0,0,0,8.326278772,25.28591744,8.02568932
0,4.761904762,0,0,0,0,0,0,95.23809524,0,0,0,0,0,0,0,0,0,0,0,0,4.990149432,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,9.90990991,0,0,0,0,0,0,90.09009009,0,0,0,0,0,0,0,0,0,0,0,0,10.94363632,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
0,15.25423729,0,0,0,0,0,0,84.74576271,0,0,0,0,0,0,0,0,0,0,0,0,17.83536063,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
0,20,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,24.65990434,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
0,24.81203008,0,0,0,0,0,0,75.18796992,0,0,0,0,0,0,0,0,0,0,0,0,32.36168932,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0
0,28.57142857,0,0,0,0,0,0,71.42857143,0,0,0,0,0,0,0,0,0,0,0,0,38.99759895,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
0,33.33333333,0,0,0,0,0,0,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,41.5580599,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
0,37.5,0,0,0,0,0,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,41.14625251,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
0,41.17647059,0,0,0,0,0,0,58.82352941,0,0,0,0,0,0,0,0,0,0,0,0,40.64107798,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
0,45.05494505,0,0,0,0,0,0,54.94505495,0,0,0,0,0,0,0,0,0,0,0,0,39.83369468,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
