Na,Li,K,Cs,Ca,Mg,Si,P,B,Al,Si6SM,Si5SM,Si4SM,Si3SM,Si2SM,Si1SM,Si0SM,P3SM,P2SM,P1SM,P0SM,B4SM,Al4SM,Al6SM
48.59,0,0,0,0,0,51.41,0,0,0,0,0,0,24.81,62.13,12.31,0.75,0,0,0,0,0,0,0
48.72,0,0,0,0,0,51.28,0,0,0,0,0,0,24.18,62.41,12.62,0.78,0,0,0,0,0,0,0
48.85,0,0,0,0,0,51.15,0,0,0,0,0,0,23.57,62.68,12.94,0.81,0,0,0,0,0,0,0
48.98,0,0,0,0,0,51.02,0,0,0,0,0,0,22.96,62.93,13.26,0.85,0,0,0,0,0,0,0
49.11,0,0,0,0,0,50.89,0,0,0,0,0,0,22.36,63.18,13.58,0.89,0,0,0,0,0,0,0
49.24,0,0,0,0,0,50.76,0,0,0,0,0,0,21.76,63.4,13.91,0.92,0,0,0,0,0,0,0
49.37,0,0,0,0,0,50.63,0,0,0,0,0,0,21.17,63.62,14.24,0.96,0,0,0,0,0,0,0
49.49,0,0,0,0,0,50.51,0,0,0,0,0,0,20.59,63.82,14.58,1.01,0,0,0,0,0,0,0
49.62,0,0,0,0,0,50.38,0,0,0,0,0,0,20.02,64.01,14.92,1.05,0,0,0,0,0,0,0
49.75,0,0,0,0,0,50.25,0,0,0,0,0,0,19.45,64.19,15.27,1.09,0,0,0,0,0,0,0
49.87,0,0,0,0,0,50.13,0,0,0,0,0,0,18.89,64.35,15.62,1.14,0,0,0,0,0,0,0
50,0,0,0,0,0,50,0,0,0,0,0,0,18.34,64.5,15.98,1.18,0,0,0,0,0,0,0
50.12,0,0,0,0,0,49.88,0,0,0,0,0,0,17.8,64.63,16.34,1.23,0,0,0,0,0,0,0
50.25,0,0,0,0,0,49.75,0,0,0,0,0,0,17.27,64.75,16.7,1.28,0,0,0,0,0,0,0
50.37,0,0,0,0,0,49.63,0,0,0,0,0,0,16.74,64.85,17.07,1.33,0,0,0,0,0,0,0
50.5,0,0,0,0,0,49.5,0,0,0,0,0,0,16.22,64.95,17.45,1.39,0,0,0,0,0,0,0
50.62,0,0,0,0,0,49.38,0,0,0,0,0,0,15.71,65.02,17.82,1.44,0,0,0,0,0,0,0
50.74,0,0,0,0,0,49.26,0,0,0,0,0,0,15.21,65.09,18.21,1.5,0,0,0,0,0,0,0
50.86,0,0,0,0,0,49.14,0,0,0,0,0,0,14.71,65.13,18.59,1.56,0,0,0,0,0,0,0
50.98,0,0,0,0,0,49.02,0,0,0,0,0,0,14.23,65.17,18.98,1.62,0,0,0,0,0,0,0
51.1,0,0,0,0,0,48.9,0,0,0,0,0,0,13.75,65.19,19.38,1.68,0,0,0,0,0,0,0
51.22,0,0,0,0,0,48.78,0,0,0,0,0,0,13.28,65.19,19.78,1.75,0,0,0,0,0,0,0
51.34,0,0,0,0,0,48.66,0,0,0,0,0,0,12.82,65.18,20.18,1.82,0,0,0,0,0,0,0
51.46,0,0,0,0,0,48.54,0,0,0,0,0,0,12.37,65.15,20.59,1.89,0,0,0,0,0,0,0
